"Title","Description","Milestone","Labels","Weight"
"Setup collaboration channels","Set up Slack, GitHub, and Google Workspace collaboration spaces","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::foundations","1"
"Review representative leaflet samples","Review representative leaflet samples and document key patterns and edge cases","Sprint 0 — Foundations & Alignment","workflow::backlog, type::research, stream::foundations","2"
"Define requirements and acceptance criteria","Capture functional and non-functional requirements and define clear acceptance criteria","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::foundations","3"
"Define initial system boundaries","Document high-level system boundaries and integration touchpoints","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::foundations","2"
"Design UX workflows and validation steps","Map UX workflows including human-in-the-loop validation steps for reviewers","Sprint 0 — Foundations & Alignment","workflow::backlog, type::design, stream::ux","3"
"Define template logic and metadata rules","Define template logic, metadata handling rules, and configuration patterns","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::digitization","3"
"Complete administrative setup","Confirm contract execution, working agreements, roles, and communication cadence","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::foundations","2"
"Produce project plan document","Formalize the project plan document and share with stakeholders","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::foundations","2"
"Produce technical requirements and architecture overview","Create and publish a technical requirements and architecture overview document","Sprint 0 — Foundations & Alignment","workflow::backlog, type::task, stream::backend","3"
"Produce UX workflow and requirements package","Create UX workflow maps and UX requirements package for handoff","Sprint 0 — Foundations & Alignment","workflow::backlog, type::design, stream::ux","3"

"Configure AI vision pipeline for sample leaflets","Configure AI vision pipeline to process representative leaflet samples","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::task, stream::ai-ml","3"
"Implement early block detection","Implement initial block detection logic for leaflet regions","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::task, stream::ai-ml","3"
"Implement initial metadata extraction and validation logic","Implement first-pass metadata extraction and validation logic for detected blocks","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::task, stream::ai-ml","3"
"Define initial configurable parsing settings","Design and expose basic configurable parsing settings for the AI pipeline","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::task, stream::ai-ml","2"
"Create lo-fi user flow wireframes","Create low-fidelity end-to-end user flow wireframes for the platform","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::design, stream::ux","3"
"Align on template management requirements","Work with stakeholders to align on template management requirements","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::task, stream::digitization","2"
"Implement initial backend endpoints for UI consumption","Expose initial backend API endpoints for AI outputs and configuration","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::backend, stream::backend","3"
"Perform early internal testing of parsing logic and performance","Run early internal tests of parsing logic and performance characteristics","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::testing, stream::ai-ml","2"
"Prepare and deliver Sprint 1 demo","Prepare demo environment and deliver Sprint 1 demo to stakeholders","Sprint 1 — AI Pipeline & UX Foundations","workflow::backlog, type::task, stream::foundations","1"

"Implement authentication service","Implement core authentication service for the platform","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::backend, stream::authentication","3"
"Implement role-based access controls","Implement role-based access control model tied to identity management","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::backend, stream::authentication","3"
"Build marketing landing page","Implement marketing landing page for LeafXtract Digitization Platform","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::frontend, stream::frontend","2"
"Build login page and authentication UI","Create login UI and connect to authentication backend","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::frontend, stream::authentication","2"
"Implement onboarding flow screens","Implement initial onboarding flow screens for new users","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::frontend, stream::ux","2"
"Build user workspace shell with empty state","Implement workspace shell including empty state and navigation shell","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::frontend, stream::frontend","3"
"Implement container views for workspace navigation","Implement container views for key workspace sections and routing","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::frontend, stream::frontend","2"
"Integrate AI API endpoints into workspace","Integrate AI pipeline endpoints into workspace views from stubbed to live","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::backend, stream::ai-ml","3"
"Finalize UI layouts for digitization and review experience","Produce final UI layouts for digitization and review experiences","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::design, stream::ux","3"
"Update API documentation for new endpoints","Update and publish API documentation for Sprint 2 endpoints","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::task, stream::backend","2"
"Prepare and deliver Sprint 2 demo","Prepare demo environment and deliver Sprint 2 demo to stakeholders","Sprint 2 — Platform Framework & Identity","workflow::backlog, type::task, stream::foundations","1"

"Integrate AI block detection pipeline into frontend","Integrate block detection results into the frontend digitization views","Sprint 3 — Digitization & Review Workflows","workflow::backlog, type::frontend, stream::digitization","3"
"Build bounding box validation UI","Build UI to display and adjust bounding boxes for leaflet blocks","Sprint 3 — Digitization & Review Workflows","workflow::backlog, type::frontend, stream::digitization","3"
"Implement human-in-the-loop review tools","Implement tools for human reviewers to inspect, correct, and approve outputs","Sprint 3 — Digitization & Review Workflows","workflow::backlog, type::frontend, stream::digitization","3"
